Unnamed: 0,addr,역명,지하철 거리,addr.1,학교명,학교 거리,addr.2,기관명,병원 거리,면적당금액
3876,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
3877,강남구 역삼동 832-3,강남,547.7833446476245,강남구 역삼동 832-3,서울역삼초등학교,232.604233310686,강남구 역삼동 832-3,성모힐정신건강의학과의원,20.38322383294296,890.4109589
3878,강남구 역삼동 769-1,역삼,608.8585639093212,강남구 역삼동 769-1,도곡중학교,589.0568128271583,강남구 역삼동 769-1,세연내과의원,18.963502141977724,690.3594771
3879,강남구 역삼동 832-16,강남,504.3424241361695,강남구 역삼동 832-16,서울역삼초등학교,211.5938959628641,강남구 역삼동 832-16,강남성모이비인후과의원,44.72551370222467,1729.046178
3880,강남구 역삼동 832-16,강남,504.3424241361695,강남구 역삼동 832-16,서울역삼초등학교,211.5938959628641,강남구 역삼동 832-16,강남성모이비인후과의원,44.72551370222467,1729.046178
3881,강남구 역삼동 719-24,역삼,368.4939879226221,강남구 역삼동 719-24,서울도성초등학교,725.5444155045227,강남구 역삼동 719-24,알앤비성형외과의원,77.62721164251231,1149.55173
3882,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
3883,강남구 역삼동 720-22,역삼,490.6793892201583,강남구 역삼동 720-22,서울도성초등학교,606.2385513605842,강남구 역삼동 720-22,이종복치과의원,68.80270924689064,837.5793955
3884,강남구 역삼동 708-16,선릉,100.02203583398726,강남구 역삼동 708-16,진선여자중학교,199.66602942437493,강남구 역삼동 708-16,고운얼굴치과의원,32.21928460043964,775.7166948
3885,강남구 역삼동 823-26,역삼,380.97014343373553,강남구 역삼동 823-26,서울역삼초등학교,673.7126148613196,강남구 역삼동 823-26,원치과의원,31.479664174276213,714.1364175
3886,강남구 역삼동 769-1,역삼,608.8585639093212,강남구 역삼동 769-1,도곡중학교,589.0568128271583,강남구 역삼동 769-1,세연내과의원,18.963502141977724,690.3594771
3887,강남구 역삼동 769-1,역삼,608.8585639093212,강남구 역삼동 769-1,도곡중학교,589.0568128271583,강남구 역삼동 769-1,세연내과의원,18.963502141977724,690.3594771
3888,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
3889,강남구 역삼동 824-25,강남,275.5249564621078,강남구 역삼동 824-25,서울서초초등학교,564.8098123100497,강남구 역삼동 824-25,강남담온한의원,49.16236136098159,753.6973834
3890,강남구 역삼동 832-33,강남,603.5773501791085,강남구 역삼동 832-33,서울역삼초등학교,115.42947342884044,강남구 역삼동 832-33,소중한치과의원,36.414938486071904,714.9547299
3891,강남구 역삼동 778-13,한티,822.9701971575204,강남구 역삼동 778-13,도곡중학교,383.5310527428433,강남구 역삼동 778-13,엔젤미치과의원,173.6153824506604,2004.677581
3892,강남구 역삼동 709-5,선릉,250.1897567447549,강남구 역삼동 709-5,진선여자중학교,207.94790765878383,강남구 역삼동 709-5,비움채한의원,95.69132789739103,3529.428374
3893,강남구 역삼동 825-20,강남,125.86647652152756,강남구 역삼동 825-20,서울서초초등학교,410.8609732635056,강남구 역삼동 825-20,강남미래영상의학과의원,6.307773007091647,1340.918326
3894,강남구 역삼동 778-13,한티,822.9701971575204,강남구 역삼동 778-13,도곡중학교,383.5310527428433,강남구 역삼동 778-13,엔젤미치과의원,173.6153824506604,2004.677581
3895,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3896,강남구 역삼동 735-17,역삼,368.1084206842923,강남구 역삼동 735-17,서울역삼초등학교,621.9018209908597,강남구 역삼동 735-17,김민정한의원,73.72637355165885,1079.497908
3897,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3898,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3899,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3900,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3901,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3902,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3903,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3904,강남구 역삼동 736-22,역삼,257.4640469155249,강남구 역삼동 736-22,서울역삼초등학교,695.7343622729015,강남구 역삼동 736-22,엔슬림의원,63.24464999950175,696.5174129
3905,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3906,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
3907,강남구 역삼동 695-11,선릉,274.4566842379073,강남구 역삼동 695-11,진선여자중학교,535.2317225638376,강남구 역삼동 695-11,한마음한의원,57.470978545264245,1592.468733
